31,8,7,1,9.9,189,"house",7,5,0,2,16.2,0,0,0,5.88720354285714,1,14.5450001358986,10.5450001358986,176,9,5,5,1,1
2,-1,5,1,9.9,311,"house",3,0,0,3,7.28,3,2,2,0.726901079957219,1,14,14,10,2,2,2,1,6
22,-4,4,1,9.9,274,"house",2,0,0,2,3.38,1,1,0,0.185796237396923,2,14.2140000015497,11,88,2,3,1,3,0
45,5,-5,1,9.9,190,"house",4,2,0,2,0.8,0,0,0,0.294266114489796,1,23,15,24,4,3,0,3,3
79,11,-4,1,9.9,18,"house",2,1,0,1,4.13,1.5,0,0,1.45742734302434,4.5,2.73100003600121,0,37,3,2,3,2,2
90,-2,8,1,9.9,246,"house",3,0,0,3,0,0,0,0,0.0939599422777778,3,6.342000246048,6.342000246048,13,2,1,7,3,2
12,-12,3,1,9.9,2,"house",4,2,0,2,2.1,0,0,0,0.209213714946939,1,12,0,70,3,2,2,1,4
25,16,-10,1,9.9,15,"house",2,0,0,2,0.04,0,0,0,0.215752187831193,1,1,1,25,6,3,2,1,1
82,13,-12,1,9.9,336,"house",5,3,0,2,5.62,1,1,1,0.130685328488889,2,5.51799988746642,5.51799988746642,140,4,5,3,1,0
35,3,-8,1,9.9,72,"house",4,1,0,3,4.44,2,0,0,0.328533066823932,4,17.8539996147156,17.8539996147156,66,3,4,2,1,1
69,-3,-7,1,9.9,231,"house",7,4,0,3,0.2,0,0,0,0.573974889589298,1.08333333333333,11,0,7,4,3,8,3,0
34,15,8,1,9.9,263,"house",7,5,0,2,6.76958174904943,0,1.34600760456274,1.34600760456274,1.25,1,15,0,136,4,4,6,3,4
24,16,-14,1,9.9,207,"house",6,4,0,2,2.83,0,0,0,0.767171794311706,1,18,8,23,2,2,2,4,4
13,-7,4,1,9.9,33,"house",8,4,0,4,13.11,1,3,1,1.63256470808889,5,53.7089984416961,4,28,2,5,11,2,2
33,11,3,1,9.9,326,"house",2,0,2,0,2.82,1,0,0,0.0687886101555555,1,2.20899999141693,2.20899999141693,70,1,2,1,3,1
16,5,-7,1,9.9,339,"house",6,4,0,2,5.08,1,1,1,0.281736073485714,7,25.8049994707108,21.8549993634224,58,2,1,10,3,3
49,13,6,1,9.9,225,"house",5,4,0,1,0,0,0,0,0.1489416992,1,15,0,57,4,2,2,1,4
